,color,duration,gross,genres,facenumber_in_poster,language,content_rating,budget,title_year,imdb_score,aspect_ratio,director_avg_gross,director_avg_score,director_movies,actor_average_score,actor_average_gross,actor_movies,gross_class
996,Color,87.0,33643461.0,Comedy|Family,0.0,English,PG,50000000.0,2010.0,4.2,2.35,72795238.5,6.1,2,4.851543209876542,51866933.6234568,25,4
997,Color,129.0,32741596.0,Drama|Fantasy,0.0,English,PG-13,50000000.0,2010.0,6.5,2.35,60741115.26666666,7.3066666666666675,15,4.531234567901235,55851817.558024704,28,4
998,Color,115.0,31874869.0,Crime|Mystery|Thriller,0.0,English,R,50000000.0,2002.0,6.1,1.85,14942422.0,5.9,1,2.5185185185185186,14219185.814814815,6,4
1001,Color,95.0,27067160.0,Comedy|Drama|Romance,1.0,English,R,50000000.0,1999.0,5.9,1.85,65893624.5,7.483333333333333,6,2.371604938271605,31328756.66666667,13,4
1002,Color,125.0,26616999.0,Action|Adventure|Romance|Sci-Fi|Thriller,3.0,English,PG-13,40000000.0,2013.0,5.9,2.35,24673820.0,7.366666666666666,3,0.6722222222222224,4447574.555555555,2,4
1004,Color,110.0,26199517.0,Action|Crime|Drama|Mystery|Thriller,1.0,English,R,50000000.0,2002.0,6.4,2.35,60822587.42857143,6.957142857142857,7,2.3972222222222217,17878767.51190476,12,4
1005,Color,118.0,25450527.0,Action|Crime|Drama|Mystery|Thriller,0.0,English,R,50000000.0,2009.0,6.5,2.35,0.0,0.0,0,3.8194444444444446,15114890.138888888,9,4
1006,Color,101.0,25407250.0,Action|Adventure|Sci-Fi|Thriller,0.0,English,R,50000000.0,1996.0,5.7,2.35,26222866.55555556,7.333333333333332,9,2.4888888888888894,13016136.277777778,5,4
1008,Color,90.0,23159305.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,1.0,English,PG,70000000.0,1999.0,8.0,2.35,0.0,0.0,0,3.255555555555555,37245020.88888889,4,4
1009,Color,119.0,24006726.0,Adventure|Comedy|Drama,8.0,English,R,50000000.0,2004.0,7.3,2.35,23496856.0,7.466666666666666,3,3.1587301587301586,20157753.03015873,23,4
1010,Color,139.0,20389967.0,Action|Biography|Drama|History|War,1.0,English,R,50000000.0,2016.0,6.7,1.85,264073350.0,7.3,2,2.2719907407407405,23864144.58333333,22,4
1011,Color,130.0,19593740.0,Crime|Drama|Thriller,0.0,English,R,50000000.0,2003.0,7.5,2.35,31516732.0,6.8,2,2.3646464646464644,49256559.22222223,14,3
1012,Color,100.0,19118247.0,Action|Comedy,5.0,English,PG-13,40000000.0,2005.0,5.4,2.35,36211991.5,6.25,6,0.4444444444444444,2352924.666666666,1,3
1013,Color,114.0,26442251.0,Action|Crime|Drama|Thriller,2.0,English,R,50000000.0,2015.0,6.6,2.35,0.0,0.0,0,5.922592592592593,82896418.48518519,34,4
1014,Color,96.0,17114882.0,Crime|Mystery|Thriller,1.0,English,R,25000000.0,2007.0,7.7,1.85,31493782.0,7.5,1,2.1766666666666667,9635412.18888889,14,3
1015,Color,110.0,18472363.0,Action|Adventure|Crime|Thriller,3.0,English,PG-13,50000000.0,2005.0,5.8,2.35,28523771.5,6.05,2,2.074691358024692,17569395.450617284,12,3
1017,Color,102.0,21557240.0,Adventure|Comedy|Fantasy,3.0,English,R,49900000.0,2011.0,5.6,2.35,29377302.66666667,7.133333333333333,3,5.2324013949013946,66511973.00847764,43,4
1018,Color,84.0,21283440.0,Drama|Mystery|Thriller,0.0,English,PG-13,55000000.0,2011.0,6.0,2.35,29328384.0,6.4,3,2.178571428571429,4461362.055555556,11,4
1019,Color,115.0,10556196.0,Crime|Drama|Thriller,2.0,English,PG-13,50000000.0,1997.0,6.2,2.35,0.0,0.0,0,0.7333333333333333,8309733.222222223,1,3
1020,Color,99.0,16671505.0,Adventure|Comedy|Crime|Drama|Family,1.0,English,PG,50000000.0,1994.0,5.9,1.85,15369573.0,5.3,1,1.6222222222222225,20930379.111111112,2,3
1021,Color,135.0,10400000.0,Drama|Romance,1.0,English,R,50000000.0,1995.0,5.1,2.35,0.0,0.0,0,4.844444444444445,54893972.92592593,10,3
1022,Color,108.0,9528092.0,Biography|Drama|Thriller,2.0,English,PG-13,22000000.0,2010.0,6.8,2.35,81864686.8,7.040000000000001,5,3.737037037037037,18264739.0,13,2
1025,Color,107.0,9795017.0,Crime|Drama|Thriller,0.0,English,R,50000000.0,1995.0,5.1,1.85,204565000.0,8.0,1,1.7148148148148146,8743639.851851853,4,2
1026,Color,95.0,20488579.0,Action|Sci-Fi|Thriller,1.0,English,R,50000000.0,2009.0,5.8,1.85,27829874.0,7.0,1,4.5777777777777775,27329613.85185185,15,4
1027,Color,124.0,19445217.0,Drama|Fantasy|Romance,7.0,English,PG-13,60000000.0,2013.0,6.2,2.35,33291819.0,6.85,2,0.8111111111111109,3829802.666666666,1,3
1029,Color,102.0,28837115.0,Comedy,4.0,English,PG-13,50000000.0,2016.0,4.8,2.35,76266751.0,6.7666666666666675,3,5.618888888888888,45760230.36481481,39,4
1030,Color,88.0,6471394.0,Comedy|Crime,5.0,English,PG-13,50000000.0,2004.0,4.9,2.35,28014536.0,7.4,1,2.3464646464646464,17063397.382395387,19,2
1031,Color,87.0,6291602.0,Comedy|Sci-Fi,0.0,English,R,50000000.0,2000.0,5.6,1.85,65012000.0,6.2,1,2.0777777777777784,21521699.88888889,4,2
1032,Color,104.0,10706786.0,Action|Fantasy|Thriller,1.0,English,R,50000000.0,2011.0,5.5,1.85,42264082.0,5.2,2,3.4047138047138037,22234189.355218854,28,3
1034,Color,85.0,43905746.0,Action|Sci-Fi|Thriller,1.0,English,PG-13,49000000.0,2001.0,5.9,2.35,53302314.0,6.7,1,2.2379629629629627,22824438.52777778,9,5
1036,Color,104.0,21413502.0,Action|Adventure|Comedy|Crime|Music|Mystery,5.0,English,R,40000000.0,1990.0,6.3,2.35,24862302.0,5.800000000000002,2,0.0,0.0,0,4
1038,Color,190.0,124107476.0,Crime|Drama|Thriller,0.0,English,R,48000000.0,2000.0,7.6,1.85,21758109.0,7.1000000000000005,3,2.1888888888888887,10760511.555555556,3,7
1039,Color,127.0,197171806.0,Action|Adventure|Fantasy,5.0,English,PG-13,48000000.0,1989.0,8.3,2.35,223278339.66666663,7.916666666666668,6,0.9086419753086421,21836599.38271605,9,8
1041,Color,120.0,31569268.0,Action|Crime|Drama|Sci-Fi|Thriller,0.0,English,R,49000000.0,2015.0,6.9,2.35,93050117.0,6.6,1,3.992407407407408,73765050.84814815,22,4
1042,Color,118.0,66488090.0,Crime|Drama|Mystery|Thriller,2.0,English,R,48000000.0,1999.0,6.7,2.35,88885169.66666667,6.666666666666668,3,1.4646464646464648,6223570.141414142,12,6
1043,Color,112.0,95308367.0,Crime|Drama|Thriller,0.0,English,R,48000000.0,2002.0,6.8,2.35,60221979.0,7.9,4,1.5555555555555556,3863701.444444445,2,6
1045,Color,114.0,60652036.0,Action|Adventure|Comedy|Drama|War,1.0,English,R,48000000.0,1999.0,7.1,2.35,14891000.0,6.8,1,0.0,0.0,0,5
1048,Color,120.0,50173190.0,Drama|Mystery|Sci-Fi,1.0,English,PG-13,48000000.0,2001.0,7.4,2.35,7564000.0,6.2,1,4.061904761904763,24467731.16931217,23,5
1049,Color,123.0,47095453.0,Comedy|Fantasy|Romance,1.0,English,PG-13,48000000.0,2001.0,6.4,1.85,36878639.5,7.1,2,3.761111111111111,41500261.22222223,9,5
1050,Color,93.0,37879996.0,Comedy|Fantasy|Romance,2.0,English,PG-13,48000000.0,2000.0,6.0,2.35,59780570.0,7.12,5,2.1444444444444444,10164918.0,7,4
1051,Color,123.0,25900000.0,Crime|Drama|Music,1.0,English,R,58000000.0,1984.0,6.5,1.85,74130488.0,8.475,4,0.0,0.0,0,4
